name,id,desciption,category,buyprice,sellprice,marketvalue,circulation
Hammer ,1,"A small, lightweight tool used in the building industry. Can also be used as a weapon.",Melee,$75 ,$50 ,$36 ,"2,666,368"
Baseball Bat ,2,"A long, solid wooden bat. As a weapon, it can land quite a blow on your enemy.",Melee,$200 ,$130 ,$143 ,"601,223"
Crowbar ,3,Used for opening crates and large boxes. The sharp hook at one end makes this a great weapon.,Melee,$400 ,$250 ,$131 ,"761,115"
Knuckle Dusters ,4,"They won't know what hit them with these strong, hard, brass knuckle dusters. They won't even see it coming!",Melee,$750 ,$500 ,$266 ,"528,760"
Pen Knife ,5,"High quality knife--a great survival tool. Ideal for climbers, adventurers, military personnel, and close combat in dark alleys.",Melee,"$1,000 ",$750 ,$625 ,"327,266"
Kitchen Knife ,6,"Do your attempts to prepare food like your favourite TV chef end up more like hack and saw than slice and dice? If so, a sharp new knife could be your saviour.",Melee,"$1,500 ","$1,000 ",$991 ,"394,978"
Dagger ,7,"A short, sharp metal dagger useful for quick attacks. Straight in, straight out.",Melee,"$2,250 ","$1,500 ","$1,291 ","184,201"
Axe ,8,"Used mainly for chopping tree roots and splitting kindling. Can bash and split many other substances, too.",Melee,"$4,200 ","$3,000 ","$2,115 ","664,333"
Scimitar ,9,"The deeply-curved, high-carbon steel blade of the scimitar can terrify your opponent as you attack with a swashbuckling slash.",Melee,"$8,600 ","$5,400 ","$5,018 ","191,116"
Chainsaw ,10,A compact chainsaw lets you cut quickly in tight spots. Its standard diamond chain is more than a match for almost anything you might need to slice up.,Melee,"$15,000 ","$11,500 ","$11,358 ","321,619"
Samurai Sword ,11,"A ninja-grade, full-tang samurai sword, created for us by a master artisan. The sword balances perfectly, takes and holds a razor edge, and can divide an eyelash or a full skull in one swipe.",Melee,"$75,000 ","$53,000 ","$52,933 ","167,522"
Glock 17 ,12,The Glock 17 is a lightweight semi-automatic pistol holding up to 20 rounds in a magazine.,Secondary,$400 ,$270 ,$204 ,"773,185"
Raven MP25 ,13,"The Raven MP25 holds 6 rounds per magazine. It can deliver powerful, quick blows to the opponent at short range.",Secondary,$550 ,$370 ,$304 ,"292,722"
Ruger 57 ,14,"A fast firing pistol chambered for the 5.7mm cartridge, holding 20 rounds per magazine. An accurate and moderately powerful weapon.",Secondary,$975 ,$650 ,$513 ,"247,456"
Beretta M9 ,15,The M9 Beretta is the standard Army sidearm. Accurate and fast firing. 17 rounds per magazine.,Secondary,"$2,000 ","$1,300 ","$1,008 ","293,005"
USP ,16,A good short range weapon that holds 15 rounds per magazine. Very accurate and has fast semi-automatic firing.,Secondary,"$2,750 ","$1,850 ","$1,564 ","339,635"
Beretta 92FS ,17,"A direct-feed, double-stacked pistol with a 20-round magazine. This model has improvements to prevent the slide flying off if it cracks.",Secondary,$0 ,"$3,500 ","$170,000 ","56,630"
Fiveseven ,18,A small and light firearm that holds up to 20 rounds per magazine. Widely used by counter-terrorists all around the world.,Secondary,"$9,950 ","$7,500 ","$6,554 ","403,420"
Magnum ,19,"A very slow but powerful weapon. It holds only 6 rounds, but delivers a mighty blow to the enemy.",Secondary,"$23,000 ","$16,000 ","$14,508 ","427,674"
Desert Eagle ,20,"Fast-firing and very powerful. If you hit your opponent, he goes down and stays down. The magazine only holds eight rounds but the strength of each impact makes up for that.",Secondary,"$45,000 ","$37,000 ","$35,181 ","188,601"
Dual 92G Berettas ,21,"One of the greatest pistols in the world. And when you are packing a pair, the results are incredible: 46 powerful shots to take your opponent down. The Dual 92G Berettas are very hard to get hold of, so cost a premium. But the extra impact is worth the extra price.",Secondary,$0 ,"$900,000 ","$3,949,875 ","69,172"
Sawed-Off Shotgun ,22,"Loads and fires two cartridges at a time. If you hit your opponent, you will open up a huge hole.",Primary,"$2,400 ","$1,400 ","$1,238 ","222,568"
Benelli M1 Tactical ,23,Simple and sturdy. Takes seven cartridges and delivers each round with power.,Primary,"$4,900 ","$3,300 ","$3,039 ","319,424"
MP5 Navy ,24,"Lightweight and air-cooled, one of the most widely used submachine guns in the world. 30 rounds per magazine.",Primary,"$5,600 ","$3,800 ","$3,502 ","299,418"
P90 ,25,"Effective close-range automatic weapon. 50-round magazine. Not particularly accurate, but its fast firing will cause heavy damage on anything it hits.",Primary,"$9,800 ","$6,600 ","$5,932 ","292,838"
AK-47 ,26,"Powerful, accurate and virtually unbreakable. This 30-round magazine fed rifle is a favourite among discerning hit men.",Primary,"$15,000 ","$10,000 ","$9,635 ","348,337"
M4A1 Colt Carbine ,27,"The Colt is a powerful and accurate rifle. It's one of the best weapons around, a good choice!",Primary,"$19,500 ","$12,500 ","$11,487 ","300,371"
Benelli M4 Super ,28,"The Auto Shotgun is the best close-range weapon around. Although you may have to reload often as it only holds 7 rounds, the amount of rounds you can pump into your enemy in just a few seconds is amazing.",Primary,"$32,000 ","$21,400 ","$20,584 ","204,269"
M16 A2 Rifle ,29,"Much like the Colt, but more powerful and accurate. 30 rounds per magazine, with a fast-fire option.",Primary,"$53,000 ","$36,000 ","$35,283 ","151,287"
Steyr AUG ,30,"The Steyr AUG holds 30 rounds. It can be very accurate, although its standard scope is a little weak. A great weapon for the price.",Primary,"$99,500 ","$75,000 ","$74,865 ","186,702"
M249 SAW ,31,"The M249 Squad Automatic Weapon is a light machine-gun that combines the precision and mobility of a rifle with the relentless ferocity of rapid machine-gun fire. A favorite of the US Military, this gas-operated LMG can cut down several targets in a matter of seconds.",Primary,"$950,000 ","$670,000 ","$718,226 ","75,893"
Leather Vest ,32,"Simple and lightweight. If you're lucky, it will protect you from a few shots.",Defensive,"$2,500 ","$1,700 ",$983 ,"397,684"
Police Vest ,33,Strong and durable body armor that will absorb a lot of damage to your torso.,Defensive,"$10,000 ","$7,500 ","$7,142 ","258,006"
Bulletproof Vest ,34,"Body armor that can absorb a certain amount of heavy-weapons fire, although it will not turn you into Iron Man.",Defensive,"$50,000 ","$33,000 ","$31,140 ","433,843"
Box of Chocolate Bars ,35,A box of chocolate bars. Provides a small happiness increase when consumed.,Candy,$0 ,$15 ,$590 ,"8,718,654"
Big Box of Chocolate Bars ,36,A very large box of chocolate bars. Provides a small happiness increase when consumed.,Candy,$0 ,$20 ,"$62,580 ","10,571,560"
Bag of Bon Bons ,37,A pack of Bon Bons. Provides a small happiness increase when consumed.,Candy,$0 ,$16 ,$573 ,"6,771,311"
Box of Bon Bons ,38,A box of four luxurious Bon Bons. Provides a small happiness increase when consumed.,Candy,$0 ,$20 ,$585 ,"5,504,020"
Box of Extra Strong Mints ,39,"Wow, whoever needs these must have very bad breath. Provides a small happiness increase when consumed.",Candy,$0 ,$22 ,$586 ,"8,749,558"
Pack of Music CDs ,40,"Some of the hottest bands around, all in one pack of CDs.",Other,$0 ,$20 ,$712 ,"2,512,093"
DVD Player ,41,Sony DVD player with MP3 reading ability.,Other,$0 ,$25 ,$203 ,"2,004,121"
MP3 Player ,42,Brand new MP3 player made by Sony. Comes with a 512 MEG card.,Special,$0 ,$25 ,$652 ,"4,911,282"
CD Player ,43,"This stylish home stereo system was top of the range back in 1994, with its CD player capable of reading even the most scratched up compact discs in your collection.",Special,$0 ,$20 ,$690 ,"1,812,900"
Blank DVDs : 100 ,44,"This spindle pack of 100 writable DVD-R DVDs are suitable for video and data applications, and compatible with a variety of different drives.",Material,$35 ,$20 ,$0 ,0
